排名	用户名	正确数量	用时
1		-858993460	-858993460
2		-858993460	-858993460
3	JIUHJ	-858993460	-858993460
4	JIUHJ	-858993460	-858993460
5	asdfg	-858993460	-858993460
6	asdfg	-858993460	-858993460
7	kailin	-858993460	-858993460
8	kailin	-858993460	-858993460
9	qwerty	-858993460	-858993460
10	qwerty	-858993460	-858993460
11	wingga	-858993460	-858993460
12	wingga	-858993460	-858993460
13	winggi	-858993460	-858993460
14	winggi	-858993460	-858993460
15	winggo	-858993460	-858993460
16	winggo	-858993460	-858993460
17	wqwert	-858993460	-858993460
18	wqwert	-858993460	-858993460
